transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,is_laundering
TX-0001,2022-11-04T10:15:00Z,ACC-00150000,ACC-00847291,87400,EUR,WIRE_IN,1
TX-0002,2022-11-04T22:10:00Z,ACC-00847291,ACC-00670001,9850,EUR,TRANSFER,1
TX-0003,2022-11-04T23:05:00Z,ACC-00847291,ACC-00670002,9300,EUR,TRANSFER,1
TX-0004,2022-11-05T00:48:00Z,ACC-00847291,ACC-00670003,9000,USD,TRANSFER,1
TX-0005,2022-11-05T01:20:00Z,ACC-00847291,ACC-00670004,7800,GBP,TRANSFER,1
TX-0006,2022-11-05T02:05:00Z,ACC-00847291,ACC-00670005,9000,CHF,TRANSFER,1
TX-0007,2022-11-05T03:40:00Z,ACC-00847291,ACC-00670006,8400,EUR,TRANSFER,1
TX-0008,2022-11-05T05:10:00Z,ACC-00847291,ACC-00670007,7900,EUR,TRANSFER,1
TX-0009,2022-11-05T06:25:00Z,ACC-00847291,ACC-00670008,8600,EUR,TRANSFER,1
TX-0010,2022-11-05T22:50:00Z,ACC-00847291,ACC-00670009,7500,EUR,TRANSFER,1
TX-0011,2022-11-05T23:30:00Z,ACC-00847291,ACC-00670010,9200,USD,TRANSFER,1
TX-0012,2022-11-06T00:40:00Z,ACC-00847291,ACC-00670011,8200,EUR,TRANSFER,1
TX-0013,2022-11-06T01:55:00Z,ACC-00847291,ACC-00910011,7300,EUR,TRANSFER,1
TX-0014,2022-11-06T03:10:00Z,ACC-00847291,ACC-00910012,9100,EUR,TRANSFER,1
TX-0015,2022-11-06T19:20:00Z,ACC-00847291,ACC-00910013,6400,EUR,TRANSFER,1
TX-0016,2022-11-06T23:15:00Z,ACC-00847291,ACC-00670003,6200,EUR,TRANSFER,1
TX-0017,2022-11-07T01:05:00Z,ACC-00847291,ACC-00670006,5800,EUR,TRANSFER,1
TX-0018,2022-11-07T02:40:00Z,ACC-00847291,ACC-00670009,5100,EUR,TRANSFER,1
TX-0019,2023-03-15T09:14:00Z,ACC-00910001,ACC-00391074,11200,EUR,WIRE_IN,1
TX-0020,2023-03-15T10:03:00Z,ACC-00910002,ACC-00391074,9800,USD,WIRE_IN,1
TX-0021,2023-03-15T10:55:00Z,ACC-00910003,ACC-00391074,10500,EUR,WIRE_IN,1
TX-0022,2023-03-15T11:36:00Z,ACC-00910004,ACC-00391074,8900,EUR,WIRE_IN,1
TX-0023,2023-03-15T12:17:00Z,ACC-00910005,ACC-00391074,9600,EUR,WIRE_IN,1
TX-0024,2023-03-15T13:04:00Z,ACC-00910006,ACC-00391074,10100,EUR,WIRE_IN,1
TX-0025,2023-03-15T14:22:00Z,ACC-00910007,ACC-00391074,9400,EUR,WIRE_IN,1
TX-0026,2023-03-15T15:11:00Z,ACC-00910008,ACC-00391074,9900,EUR,WIRE_IN,1
TX-0027,2023-03-15T16:10:00Z,ACC-00910009,ACC-00391074,11300,EUR,WIRE_IN,1
TX-0028,2023-03-15T17:29:00Z,ACC-00910010,ACC-00391074,10700,EUR,WIRE_IN,1
TX-0029,2023-03-15T18:05:00Z,ACC-00910018,ACC-00391074,8400,EUR,WIRE_IN,1
TX-0030,2023-03-15T19:42:00Z,ACC-00910001,ACC-00391074,9200,EUR,WIRE_IN,1
TX-0031,2023-03-15T21:47:00Z,ACC-00910002,ACC-00391074,9900,EUR,WIRE_IN,1
TX-0032,2023-03-16T03:10:00Z,ACC-00391074,ACC-00180000,131200,EUR,WIRE_OUT,1
TX-0033,2022-08-09T09:10:00Z,ACC-00562883,ACC-00719046,61750,EUR,TRANSFER,1
TX-0034,2022-08-11T15:40:00Z,ACC-00719046,ACC-00204517,59880,EUR,TRANSFER,1
TX-0035,2022-08-14T13:05:00Z,ACC-00204517,ACC-00562883,58200,EUR,TRANSFER,1
TX-0036,2022-08-20T10:00:00Z,ACC-00562883,ACC-00719046,42000,EUR,TRANSFER,1
TX-0037,2022-08-21T09:20:00Z,ACC-00719046,ACC-00204517,39800,EUR,TRANSFER,1
TX-0038,2022-08-22T07:50:00Z,ACC-00204517,ACC-00990001,38200,EUR,TRANSFER,1
TX-0039,2023-02-02T08:05:00Z,ACC-00450012,ACC-00670001,6200,EUR,TRANSFER,1
TX-0040,2023-02-02T08:45:00Z,ACC-00450012,ACC-00670002,5900,EUR,TRANSFER,1
TX-0041,2023-02-02T09:20:00Z,ACC-00450012,ACC-00670003,6100,EUR,TRANSFER,1
TX-0042,2023-02-02T10:10:00Z,ACC-00450012,ACC-00670004,5300,EUR,TRANSFER,1
TX-0043,2023-02-02T11:04:00Z,ACC-00450012,ACC-00670005,6700,EUR,TRANSFER,1
TX-0044,2023-02-02T11:56:00Z,ACC-00450012,ACC-00670006,7100,EUR,TRANSFER,1
TX-0045,2023-02-02T12:41:00Z,ACC-00450012,ACC-00670007,6400,EUR,TRANSFER,1
TX-0046,2023-02-02T13:28:00Z,ACC-00450012,ACC-00670008,7800,EUR,TRANSFER,1
TX-0047,2023-02-02T14:19:00Z,ACC-00450012,ACC-00670009,5600,EUR,TRANSFER,1
TX-0048,2023-02-02T15:07:00Z,ACC-00450012,ACC-00670010,6900,EUR,TRANSFER,1
TX-0049,2023-02-02T15:50:00Z,ACC-00450012,ACC-00670011,6000,EUR,TRANSFER,1
TX-0050,2023-02-02T16:33:00Z,ACC-00450012,ACC-00910011,6300,EUR,TRANSFER,1
TX-0051,2023-01-11T08:30:00Z,ACC-00910016,ACC-00150000,42000,GBP,WIRE_OUT,0
TX-0052,2023-01-11T10:02:00Z,ACC-00150000,ACC-00910017,31500,EUR,WIRE_OUT,0
TX-0053,2023-01-14T09:40:00Z,ACC-00910017,ACC-00450012,28400,CHF,WIRE_OUT,0
TX-0054,2023-01-15T16:30:00Z,ACC-00450012,ACC-00847291,15400,EUR,TRANSFER,0
TX-0055,2023-01-18T12:00:00Z,ACC-00990001,ACC-00391074,17200,EUR,TRANSFER,0
TX-0056,2023-01-18T15:20:00Z,ACC-00391074,ACC-00910019,16600,EUR,TRANSFER,1
TX-0057,2023-01-19T07:15:00Z,ACC-00910019,ACC-00910020,15900,EUR,TRANSFER,1
TX-0058,2023-01-19T09:40:00Z,ACC-00910020,ACC-00910018,15200,EUR,TRANSFER,1
TX-0059,2023-01-19T13:55:00Z,ACC-00910018,ACC-00391074,14800,EUR,TRANSFER,1
TX-0060,2023-01-23T11:20:00Z,ACC-00670001,ACC-00910014,2400,EUR,P2P,0
TX-0061,2023-01-23T12:10:00Z,ACC-00910014,ACC-00910015,2300,EUR,P2P,0
TX-0062,2023-01-23T13:45:00Z,ACC-00910015,ACC-00670001,2250,EUR,P2P,0
TX-0062,2023-01-23T13:47:00Z,ACC-00910015,ACC-00670001,2250,EUR,P2P,0
TX-0063,2023-01-24T14:25:00Z,ACC-00670008,ACC-00450012,4150,EUR,TRANSFER,0
TX-0064,2023-01-24T16:45:00Z,ACC-00670009,ACC-00450012,4020,EUR,TRANSFER,0
TX-0065,2023-01-25T08:15:00Z,ACC-00910002,ACC-00910003,8100,EUR,TRANSFER,1
TX-0066,2023-01-25T09:45:00Z,ACC-00910003,ACC-00910004,7850,EUR,TRANSFER,1
TX-0067,2023-01-25T11:05:00Z,ACC-00910004,ACC-00910005,7600,EUR,TRANSFER,1
TX-0068,2023-01-25T12:20:00Z,ACC-00910005,ACC-00910006,7350,EUR,TRANSFER,1
TX-0999,2023-02-12T09:00:00Z,ACC-00450012,,5000,EUR,TRANSFER,0
