loan_id,customer_id,product_type,origination_date,outstanding_balance,days_past_due,pd,ead,lgd,recovered_amount,status,delinquency_bucket,npl_flag,early_warning_flag,expected_loss,recovery_rate,stressed_pd,stressed_expected_loss
LN-1001,CUST-001,Personal Loan,2023-01-15,12500,0,0.018,12500,0.38,0,CURRENT,CURRENT,False,False,85.5,0.0,0.027,128.25
LN-1002,CUST-002,Credit Card,2022-11-03,5350,18,0.032,5350,0.61,0,CURRENT,1-30 DPD,False,False,104.43,0.0,0.048,156.65
LN-1003,CUST-003,Auto Loan,2021-07-22,18750,30,0.055,18750,0.34,0,DELINQUENT,1-30 DPD,False,True,350.62,0.0,0.0825,525.94
LN-1004,CUST-004,Mortgage,2020-05-11,146000,44,0.041,146000,0.22,0,DELINQUENT,31-60 DPD,False,True,1316.92,0.0,0.0615,1975.38
LN-1005,CUST-005,Working Capital,2023-03-02,56000,60,0.083,56000,0.45,3500,DELINQUENT,31-60 DPD,False,True,2091.6,0.0625,0.1245,3137.4
LN-1006,CUST-006,Credit Card,2022-09-19,7900,73,0.118,7900,0.64,1200,DELINQUENT,61-90 DPD,False,True,596.61,0.1519,0.177,894.91
LN-1007,CUST-007,Personal Loan,2021-12-08,9100,88,0.164,9100,0.57,800,DELINQUENT,61-90 DPD,False,True,850.67,0.0879,0.246,1276.0
LN-1008,CUST-008,Equipment Loan,2020-10-31,53000,91,0.205,53000,0.42,5000,NPL,90+ DPD,True,False,4563.3,0.0943,0.3075,6844.95
LN-1009,CUST-009,Personal Loan,2021-04-06,7600,128,0.33,7600,0.72,2200,NPL,90+ DPD,True,False,1805.76,0.2895,0.495,2708.64
LN-1010,CUST-010,Working Capital,2022-02-14,41500,105,0.265,41500,0.52,9500,NPL,90+ DPD,True,False,5718.7,0.2289,0.3975,8578.05
LN-1011,CUST-011,Auto Loan,2023-06-30,14900,0,0.015,14900,0.28,0,CURRENT,CURRENT,False,False,62.58,0.0,0.0225,93.87
LN-1012,CUST-012,Credit Card,2023-09-12,6400,31,0.071,6400,0.62,0,DELINQUENT,31-60 DPD,False,True,281.73,0.0,0.1065,422.59
LN-1013,CUST-013,Personal Loan,2022-06-24,4800,22,0.044,4800,0.47,0,CURRENT,1-30 DPD,False,False,99.26,0.0,0.066,148.9
LN-1014,CUST-014,Working Capital,2021-01-29,68500,96,0.238,68500,0.49,18000,NPL,90+ DPD,True,False,7988.47,0.2628,0.357,11982.7
