loan_id,customer_id,product_type,origination_date,outstanding_balance,days_past_due,pd,ead,lgd,recovered_amount,status
LN-1001,CUST-001,Personal Loan,2023-01-15,12500,0,0.018,12500,0.38,0,CURRENT
LN-1002,CUST-002,Credit Card,2022-11-03,5350,18,0.032,5350,0.61,0,CURRENT
LN-1003,CUST-003,Auto Loan,2021-07-22,18750,30,0.055,18750,0.34,0,DELINQUENT
LN-1004,CUST-004,Mortgage,2020-05-11,146000,44,0.041,146000,0.22,0,DELINQUENT
LN-1005,CUST-005,Working Capital,2023-03-02,56000,60,0.083,56000,0.45,3500,DELINQUENT
LN-1006,CUST-006,Credit Card,2022-09-19,7900,73,0.118,7900,0.64,1200,DELINQUENT
LN-1007,CUST-007,Personal Loan,2021-12-08,9100,88,0.164,9100,0.57,800,DELINQUENT
LN-1008,CUST-008,Equipment Loan,2020-10-31,53000,91,0.205,53000,0.42,5000,NPL
LN-1009,CUST-009,Personal Loan,2021-04-06,7600,128,0.33,7600,0.72,2200,NPL
LN-1010,CUST-010,Working Capital,2022-02-14,41500,105,0.265,41500,0.52,9500,NPL
LN-1011,CUST-011,Auto Loan,2023-06-30,14900,0,0.015,14900,0.28,0,CURRENT
LN-1012,CUST-012,Credit Card,2023-09-12,6400,31,0.071,6400,0.62,0,DELINQUENT
LN-1013,CUST-013,Personal Loan,2022-06-24,4800,22,0.044,4800,0.47,0,CURRENT
LN-1014,CUST-014,Working Capital,2021-01-29,68500,96,0.238,68500,0.49,18000,NPL
