transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,is_laundering
TX-0001,2024-01-02T09:15:00Z,ACC-ORIGIN,ACC-SMURF,52000,EUR,WIRE_IN,0
TX-0002,2024-01-02T12:10:00Z,ACC-SMURF,ACC-BEN-01,9800,EUR,TRANSFER,0
TX-0003,2024-01-02T15:20:00Z,ACC-SMURF,ACC-BEN-02,9500,EUR,TRANSFER,0
TX-0004,2024-01-03T09:40:00Z,ACC-SMURF,ACC-BEN-03,8700,EUR,TRANSFER,0
TX-0005,2024-01-03T13:35:00Z,ACC-SMURF,ACC-BEN-04,9100,EUR,TRANSFER,0
TX-0006,2024-01-04T08:05:00Z,ACC-SMURF,ACC-BEN-05,8900,EUR,TRANSFER,0
TX-0007,2024-01-08T10:00:00Z,ACC-SEND-01,ACC-FANIN,4100,EUR,TRANSFER,0
TX-0008,2024-01-08T11:10:00Z,ACC-SEND-02,ACC-FANIN,3900,EUR,TRANSFER,0
TX-0009,2024-01-08T12:25:00Z,ACC-SEND-03,ACC-FANIN,4200,EUR,TRANSFER,0
TX-0010,2024-01-08T14:00:00Z,ACC-SEND-04,ACC-FANIN,4050,EUR,TRANSFER,0
TX-0011,2024-01-08T16:30:00Z,ACC-SEND-05,ACC-FANIN,3950,EUR,TRANSFER,0
TX-0012,2024-01-10T09:00:00Z,ACC-FANOUT,ACC-REC-01,10300,EUR,TRANSFER,0
TX-0013,2024-01-10T10:15:00Z,ACC-FANOUT,ACC-REC-02,10550,EUR,TRANSFER,0
TX-0014,2024-01-10T11:45:00Z,ACC-FANOUT,ACC-REC-03,10700,EUR,TRANSFER,0
TX-0015,2024-01-10T13:20:00Z,ACC-FANOUT,ACC-REC-04,10400,EUR,TRANSFER,0
TX-0016,2024-01-10T15:55:00Z,ACC-FANOUT,ACC-REC-05,10650,EUR,TRANSFER,0
TX-0017,2024-01-12T09:30:00Z,ACC-HR-01,ACC-GEO,12500,EUR,TRANSFER,0
TX-0018,2024-01-12T15:45:00Z,ACC-GEO,ACC-HR-02,11800,EUR,TRANSFER,0
TX-0019,2024-01-15T10:00:00Z,ACC-CIRC-A,ACC-CIRC-B,15000,EUR,TRANSFER,0
TX-0020,2024-01-16T10:00:00Z,ACC-CIRC-B,ACC-CIRC-C,14500,EUR,TRANSFER,0
TX-0021,2024-01-17T10:00:00Z,ACC-CIRC-C,ACC-CIRC-A,14000,EUR,TRANSFER,0
